,PersonId,MemberName,MemberLastName_x,MemberFirstName_x,MemberFullDisplayName_x,MemberSortName_x,MemberTitle_x,PartyName_x,PartyOrganisationId_x,ConstituencyName_x,ConstituencyId_x,MemberImgUrl_x,MemberPrefix_x,AffiliationId_x,MemberName_x,MemberLastName_y,MemberFirstName_y,MemberFullDisplayName_y,MemberSortName_y,MemberTitle_y,PartyName_y,PartyOrganisationId_y,ConstituencyName_y,ConstituencyId_y,MemberImgUrl_y,MemberPrefix_y,AddressId,MemberName_y,AddressType,RoomNumber,Address1,Townland,Ward,TownCity,Postcode,EmaiAddress,Latitude,Longitude,locTypeId,TelephoneNumber,Address3,Address2,AffiliationId_y,MemberFullDisplayName,RoleType,Role,OrganisationId,Organisation,AffiliationStart,AffiliationTitle
0,1,"Adams, Gerry",Adams,Gerry,Mr G Adams,AdamsGerry ,MLA - West Belfast,Sinn Féin,24,West Belfast,17,http://aims.niassembly.gov.uk/images/mla/1_s.jpg,Mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,"Adamson, Ian",Adamson,Ian,Dr I Adamson,AdamsonIan,MLA - East Belfast,Ulster Unionist Party,26,East Belfast,2,http://aims.niassembly.gov.uk/images/mla/2_s.jpg,Dr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,"Agnew, Fraser",Agnew,Fraser,Mr F Agnew,AgnewFraser,MLA - North Belfast,Independent,21,North Belfast,10,http://aims.niassembly.gov.uk/images/mla/3_s.jpg,Mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,"Agnew, Fraser",Agnew,Fraser,Mr F Agnew,AgnewFraser,MLA - North Belfast,United Unionist Assembly Party,30,North Belfast,10,http://aims.niassembly.gov.uk/images/mla/3_s.jpg,Mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,307,"Agnew, Steven",Agnew,Steven,Mr Steven Agnew,AgnewSteven,MLA - North Down,Green Party,111,North Down,11,http://aims.niassembly.gov.uk/images/mla/307_s.jpg,Mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5797,"Aiken, Steve OBE",Aiken,Steve,Dr Steve Aiken,AikenSteve,MLA - South Antrim,Ulster Unionist Party,26,South Antrim,12,http://aims.niassembly.gov.uk/images/mla/5797_s.jpg,Dr,18814,"Aiken, Steve OBE",Aiken,Steve,Dr Steve Aiken OBE,AikenSteveOBE,MLA - South Antrim,Ulster Unionist Party,26,South Antrim,12,http://aims.niassembly.gov.uk/images/mla/5797_s.jpg,Dr,2836,Dr Steve Aiken OBE,NIA Office Address,Room 308,Parliament Buildings,Ballymiscaw,Stormont,Belfast,BT4 3XX,steve.aiken@co.niassembly.gov.uk,54.5990757912099980,-5.8286016110869996,1,,,,19487,Dr Steve Aiken OBE,All Party Group Role,Assembly Party Group Chairperson,546,"All Party Group on Science, Technology, Engineering and Mathematics",2022-07-08T00:00:00+00:00,Assembly Party Group Chairperson
6,5797,"Aiken, Steve OBE",Aiken,Steve,Dr Steve Aiken,AikenSteve,MLA - South Antrim,Ulster Unionist Party,26,South Antrim,12,http://aims.niassembly.gov.uk/images/mla/5797_s.jpg,Dr,18814,"Aiken, Steve OBE",Aiken,Steve,Dr Steve Aiken OBE,AikenSteveOBE,MLA - South Antrim,Ulster Unionist Party,26,South Antrim,12,http://aims.niassembly.gov.uk/images/mla/5797_s.jpg,Dr,2836,Dr Steve Aiken OBE,NIA Office Address,Room 308,Parliament Buildings,Ballymiscaw,Stormont,Belfast,BT4 3XX,steve.aiken@co.niassembly.gov.uk,54.5990757912099980,-5.8286016110869996,1,,,,19430,Dr Steve Aiken OBE,All Party Group Role,Assembly Party Group Vice-Chairperson,1667,All Party Group on Ethnic Minority Community,2022-06-29T00:00:00+00:00,Assembly Party Group Vice-Chairperson
7,5797,"Aiken, Steve OBE",Aiken,Steve,Dr Steve Aiken,AikenSteve,MLA - South Antrim,Ulster Unionist Party,26,South Antrim,12,http://aims.niassembly.gov.uk/images/mla/5797_s.jpg,Dr,18814,"Aiken, Steve OBE",Aiken,Steve,Dr Steve Aiken OBE,AikenSteveOBE,MLA - South Antrim,Ulster Unionist Party,26,South Antrim,12,http://aims.niassembly.gov.uk/images/mla/5797_s.jpg,Dr,2836,Dr Steve Aiken OBE,NIA Office Address,Room 308,Parliament Buildings,Ballymiscaw,Stormont,Belfast,BT4 3XX,steve.aiken@co.niassembly.gov.uk,54.5990757912099980,-5.8286016110869996,1,,,,19262,Dr Steve Aiken OBE,All Party Group Role,Assembly Party Group Member,1631,All Party Group on Climate Action,2022-06-22T00:00:00+00:00,Assembly Party Group Member
8,5797,"Aiken, Steve OBE",Aiken,Steve,Dr Steve Aiken,AikenSteve,MLA - South Antrim,Ulster Unionist Party,26,South Antrim,12,http://aims.niassembly.gov.uk/images/mla/5797_s.jpg,Dr,18814,"Aiken, Steve OBE",Aiken,Steve,Dr Steve Aiken OBE,AikenSteveOBE,MLA - South Antrim,Ulster Unionist Party,26,South Antrim,12,http://aims.niassembly.gov.uk/images/mla/5797_s.jpg,Dr,2836,Dr Steve Aiken OBE,NIA Office Address,Room 308,Parliament Buildings,Ballymiscaw,Stormont,Belfast,BT4 3XX,steve.aiken@co.niassembly.gov.uk,54.5990757912099980,-5.8286016110869996,1,,,,19064,Dr Steve Aiken OBE,Political Designation Role,Unionist,1,Northern Ireland Assembly,2022-05-13T00:00:00+00:00,Designation - Unionist
9,5797,"Aiken, Steve OBE",Aiken,Steve,Dr Steve Aiken,AikenSteve,MLA - South Antrim,Ulster Unionist Party,26,South Antrim,12,http://aims.niassembly.gov.uk/images/mla/5797_s.jpg,Dr,18814,"Aiken, Steve OBE",Aiken,Steve,Dr Steve Aiken OBE,AikenSteveOBE,MLA - South Antrim,Ulster Unionist Party,26,South Antrim,12,http://aims.niassembly.gov.uk/images/mla/5797_s.jpg,Dr,2836,Dr Steve Aiken OBE,NIA Office Address,Room 308,Parliament Buildings,Ballymiscaw,Stormont,Belfast,BT4 3XX,steve.aiken@co.niassembly.gov.uk,54.5990757912099980,-5.8286016110869996,1,,,,18814,Dr Steve Aiken OBE,Assembly Membership Role,MLA,1,Northern Ireland Assembly,2022-05-05T18:39:00+00:00,MLA - South Antrim
