Source,Link
7th of Tir Industrial Complex,/iranian-entities/7th-tir-industrial-complex
A. Sedghi,/iranian-entities/sedghi
Aban Air,/iranian-entities/aban-air
ABAN Commercial and Industrial Co.,/iranian-entities/aban-commercial-and-industrial-co
Abbas Rashidi,/iranian-entities/abbas-rashidi
Abbas Rezaee Ashtiani,/iranian-entities/abbas-rezaee-ashtiani
Abdollah Asgharzadeh,/iranian-entities/abdollah-asgharzadeh
Abdollah Mehrabi,/iranian-entities/abdollah-mehrabi
Abdollah Nagash Souratgar,/iranian-entities/abdollah-nagash-souratgar
Abdollah Solat Sana,/iranian-entities/abdollah-solat-sana
Abdolreza Abedzadeh,/iranian-entities/abdolreza-abedzadeh
Abolghassem Mozaffari Shams,/iranian-entities/abolghassem-mozaffari-shams
Abu Reihan Group,/iranian-entities/abu-reihan-group
Abzar Boresh Kaveh Co.,/iranian-entities/abzar-boresh-kaveh-co
Advance Electrical and Industrial Technologies SL,/iranian-entities/advance-electrical-industrial-technologies-sl
Advanced Information and Communication Technology Center,/iranian-entities/advanced-information-and-communication-technology-center
Advanced Manufacturing Research Center,/iranian-entities/advanced-manufacturing-research-center
Aero Engines Design and Manufacturing Company,/iranian-entities/aero-engines-design-manufacturing-company
Aerospace Industries Organization (AIO),/iranian-entities/aerospace-industries-organization-aio
Aerospace Research Institute,/iranian-entities/aerospace-research-institute
Afsaneh Karimi-Adegani,/iranian-entities/afsaneh-karimi-adegani
Aghajari Oil & Gas Production Company (AOGPC),/iranian-entities/aghajari-oil-gas-production-company-aogpc
Ahmad Derakhshandeh,/iranian-entities/ahmad-derakhshandeh
Ahmad Rahzad,/iranian-entities/ahmad-rahzad
Ahmad Tafazoly,/iranian-entities/ahmad-tafazoly
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
"An Iran-based company specialized in manufacturing unmanned aerial vehicle (UAV) components and in importing and exporting commercial goods; according to the U.S. Department of the Treasury, has procured UAV engines for entities linked to the Islamic Revolutionary Guard Corps (IRGC).",
Ahmad Vahid Dastjerdi,/iranian-entities/ahmad-vahid-dastjerdi
Ahwaz Steel Commercial and Technical Service GmbH,/iranian-entities/ahwaz-steel-commercial-and-technical-service-gmbh
Ajily Software Procurement Group,/iranian-entities/ajily-software-procurement-group
Akbar Motallebizadeh,/iranian-entities/akbar-motallebizadeh
Al Fida International General Trading,/iranian-entities/al-fida-international-general-trading
Al Hilal Exchange,/iranian-entities/al-hilal-exchange
Ali Afzali,/iranian-entities/ali-afzali
Ali Akbar Ahmadian,/iranian-entities/ali-akbar-ahmadian
Ali Akbar Tabatabaei,/iranian-entities/ali-akbar-tabatabaei
Ali Ashraf Nouri,/iranian-entities/ali-ashraf-nouri
Ali Basati,/iranian-entities/ali-basati
Ali Canko,/iranian-entities/ali-canko
Ali Ezati,/iranian-entities/ali-ezati
Ali Gholami,/iranian-entities/ali-gholami
Ali Hajinia Leilabadi,/iranian-entities/ali-hajinia-leilabadi
Ali Jafarabadi,/iranian-entities/ali-jafarabadi
Ali Karimian,/iranian-entities/ali-karimian
Ali Mahdavi,/iranian-entities/ali-mahdavi
Ali Mehdipour Omrani,/iranian-entities/ali-mehdipour-omrani
Ali Reza Khanchi,/iranian-entities/ali-reza-khanchi
Ali Reza Shokri,/iranian-entities/ali-reza-shokri
Aluminat,/iranian-entities/aluminat
AMA Industrial Company,/iranian-entities/ama-industrial-company
Amin Hasanzadeh,/iranian-entities/amin-hasanzadeh
Amin Industrial Complex,/iranian-entities/amin-industrial-complex
Paravar Pars Company,/iranian-entities/paravar-pars-company
"An Iran-based company that produces light and ultra-light aircraft; according to the U.S. Department of the Treasury, has produced and tested unmanned aerial vehicles for the Islamic Revolutionary Guard Corps (IRGC); is closely associated with Imam Hussein University (IHU), an IRGC-controlled institution.",
Oje Parvaz Mado Nafar Company,/iranian-entities/oje-parvaz-mado-nafar-company
