Source,Link
Abascience Tech Co. Ltd.,/suppliers/abascience-tech-co-ltd
Abbas Haider,/suppliers/abbas-haider
Abdul Qadeer Khan,/suppliers/abdul-qadeer-khan
Abdullah Poor Nagar,/suppliers/abdullah-poor-nagar
Ace Hub System SDN BHD,/suppliers/ace-hub-system-sdn-bhd
ACTeam Logistics Ltd.,/suppliers/acteam-logistics-ltd
Aerospace Logistics Services,/suppliers/aerospace-logistics-services
African Amines (Pty) Limited,/suppliers/african-amines-pty-limited
Air Rig Inc.,/suppliers/air-rig-inc
Aizaz Jaffery,/suppliers/aizaz-jaffery
Al Ras Gate General Trading,/suppliers/al-ras-gate-general-trading
Al-Faris,/suppliers/al-faris
Alex Ramzi,/suppliers/alex-ramzi
Ali Akbar Yahya,/suppliers/ali-akbar-yahya
Alireza Moazami Goudarzi,/suppliers/alireza-moazami-goudarzi
"Allied Telesis Labs, Inc.",/suppliers/allied-telesis-labs-inc
Amir Ghasemi,/suppliers/amir-ghasemi
ANA Training Ltd.,/suppliers/ana-training-ltd
"Andrew A. Adams, Equipment and Supply International",/suppliers/andrew-adams-equipment-and-supply-international
Andro Telemi,/suppliers/andro-telemi
"Anhui Land Group Co., Limited",/suppliers/anhui-land-group-co-limited
Atlinx Electronics,/suppliers/atlinx-electronics
"Atomenergoproekt State Planning and Design, Research and Survey Institute",/suppliers/atomenergoproekt-state-planning-and-design-research-and-survey-institute
Atomstroyexport (ASE),/suppliers/atomstroyexport-ase
Aviation Services International B.V.,/suppliers/aviation-services-international-bv
Beijing MicroPilot UAV Flight Control Systems,/suppliers/beijing-micropilot-uav-flight-control-systems
A China-based company that sells complete unmanned aerial vehicles (UAVs) as well as autopilot systems and engines for UAVs.,
ROV Solutions,/suppliers/rov-solutions
"A subsea engineering consultancy based in the Republic of Georgia and Hong Kong; according to the U.S. Department of Commerce, part of a network used to supply Iran with U.S.-origin items that would provide material support to Iran's military industries in violation of U.S. export controls.",
"Avin Electronics Technology Co., Ltd.",/suppliers/avin-electronics-technology-co-ltd
Avtomatika Zavod (CKBA),/suppliers/avtomatika-zavod-ckba
Baktash Fattahi,/suppliers/baktash-fattahi
Baltic State Technical University,/suppliers/baltic-state-technical-university
Beijing Alite Technologies Company,/suppliers/beijing-alite-technologies-company
Beijing Institute of Geology Airborne Measurement and Remote Sensing Research Center,/suppliers/beijing-institute-geology-airborne-measurement-and-remote-sensing-research-center
Beijing Institute of Opto-Electronic Technology (BIOET),/suppliers/beijing-institute-opto-electronic-technology-bioet
Beijing MicroPilot UAV Flight Control Systems,/suppliers/beijing-micropilot-uav-flight-control-systems
Beijing Research Institute of Uranium Geology (BRIUG),/suppliers/beijing-research-institute-uranium-geology-briug
"Belfast General Trading, LLC",/suppliers/belfast-general-trading-llc
Bellamax (China),/suppliers/bellamax-china
Belvneshpromservice,/suppliers/belvneshpromservice
