,Supplier,best_match,Similarity Ratio
0,Abascience Tech Co. Ltd.,,0
248,Rick's Manufacturing,,0
257,Ryu Yon Chol,,0
256,Ruan Runling,,0
255,RPP Limited Liability Company,,0
254,Royal Pearl General T.R.D.,,0
253,ROV Solutions,,0
252,Rotair Industries Incorporated,,0
251,Rosoboronexport,,0
250,"Roc-Master Flange Co., Ltd",,0
249,Robert Kraaipoel,,0
247,Richard Yue,,0
259,SAEROS Safety ERO Company,,0
246,Ri Song Chol,,0
245,Reza Zarrab,,0
244,Rex International Development,,0
243,Resit Tavan,,0
242,ROV Solutions,,0
241,Beijing MicroPilot UAV Flight Control Systems,,0
240,Refinery Industries,,0
239,Raytronic Corporation Limited,,0
238,Raybeam Optronics Co. Ltd.,,0
258,S.H. Heritage Holding Limited,,0
260,Samara Science and Technical Complex,,0
189,Mehrdad Salashoor,,0
272,Shanghai North Begins International,,0
281,Step Standard Technical Part,,0
280,State Research Institute of Graphite - Based Structural Materials (NIIGrafit),,0
279,Sohayl Talebi,,0
278,Sinose Maritime Pte. Ltd.,,0
277,Sima General Trading Co FZE,,0
276,Shi Yuhua,,0
275,Shenzhen Rion Technology,,0
274,Shao Xingsheng (Chinese citizen),,0
273,Shanghai North Transway International Trading Co.,,0
271,Shanghai Gang Quan Trade Co.,,0
261,"Sargsian, Armen (Armenian citizen)",,0
270,Shahrzad Mir Gholikhan,,0
269,ROV Solutions,,0
268,Beijing MicroPilot UAV Flight Control Systems,,0
267,Seyed Majid Mousavi,,0
266,Selenergoproekt Joint Stock Company (AOOT ROSEP),,0
265,"Seishin Enterprise Co., Ltd.",,0
264,Seibow Logistics Limited,,0
263,Seibow Limited,,0
262,Sea Speed UAE,,0
237,Ramor Group (RG),,0
236,Rallis India,,0
235,Rahimreza Farghadani,,0
201,Mohammed Marzoghi,,0
210,Nader Modanlo,,0
209,N.A. Dollezhal Research and Development Institute of Power Engineering (NIKIET),,0
208,Multimat Import and Export,,0
207,"Multi-Mart Electronics Technology Co., Ltd.",,0
206,Muammer Kuntay Duransoy,,0
205,Moscow Bauman State University of Technology,,0
204,Moscow Aviation Institute (MAI),,0
203,Mojir Trading,,0
202,Mohsen Akhavan Nik,,0
200,Mohammad Reza Vaghari,,0
234,Prometey Central Scientific Research Institute of Structural Materials,,0
199,Mohammad Javid Sabouni,,0
198,Mohammad Farahbakhsh,,0
197,Mohammad Akhavan Nik,,0
196,Modo International,,0
195,Modern Technologies FZC,,0
194,Mir Hossein Ghaemi,,0
193,Mikrosam,,0
192,Micatic General Trading,,0
191,Metal & Mineral Trade Sarl.,,0
211,Nanjing Chemical Industries Group (NCI),,0
212,NBH Industries SDN BHD,,0
213,NEC Engineers,,0
214,Beijing MicroPilot UAV Flight Control Systems,,0
233,"Projects and Development India, Ltd. (PDIL)",,0
232,Polyus Research Institute,,0
231,Petro China Pars Co.,,0
230,Pars Company Inc.,,0
229,Pan Yongming (Chinese citizen),,0
228,Pakistan Aeronautical Complex (PAC),,0
227,Pak Chae Song,,0
226,Paeksan Associated Corporation,,0
225,Otto Heilingbrunner,,0
224,Oriental Scientific Instruments Import and Export Corporation (OSIC),,0
223,Omsk Baranov Motor-Building Production Association,,0
222,Nuclear Power Corporation of India Ltd. (NPCIL),,0
221,Noor Al Fath General Trading LLC,,0
220,"Ningbo New Century Import and Export Company, Ltd.",,0
219,Nickunj Eximp Enterprises P Ltd,,0
218,Nezhad Enterprises,,0
217,Nematollah Helmi,,0
216,Neda Overseas Electronics L.L.C.,,0
215,ROV Solutions,,0
282,Sukhoi Design Bureau Aviation Scientific Industrial Complex,,0
283,"Summit Marketing, Inc.",,0
284,Sun Middle East FZCO,,0
343,Beijing MicroPilot UAV Flight Control Systems,,0
352,ROV Solutions,,0
351,Beijing MicroPilot UAV Flight Control Systems,,0
350,ROV Solutions,,0
349,Beijing MicroPilot UAV Flight Control Systems,,0
348,ROV Solutions,,0
347,Beijing MicroPilot UAV Flight Control Systems,,0
346,ROV Solutions,,0
345,Beijing MicroPilot UAV Flight Control Systems,,0
344,ROV Solutions,,0
342,ROV Solutions,,0
331,Beijing MicroPilot UAV Flight Control Systems,,0
341,Beijing MicroPilot UAV Flight Control Systems,,0
340,ROV Solutions,,0
339,Beijing MicroPilot UAV Flight Control Systems,,0
338,ROV Solutions,,0
337,Beijing MicroPilot UAV Flight Control Systems,,0
336,ROV Solutions,,0
335,Beijing MicroPilot UAV Flight Control Systems,,0
334,ROV Solutions,,0
333,Beijing MicroPilot UAV Flight Control Systems,,0
353,Beijing MicroPilot UAV Flight Control Systems,,0
354,ROV Solutions,,0
355,Beijing MicroPilot UAV Flight Control Systems,,0
356,ROV Solutions,,0
375,Beijing MicroPilot UAV Flight Control Systems,,0
374,ROV Solutions,,0
373,Beijing MicroPilot UAV Flight Control Systems,,0
372,ROV Solutions,,0
371,Beijing MicroPilot UAV Flight Control Systems,,0
370,ROV Solutions,,0
369,Beijing MicroPilot UAV Flight Control Systems,,0
368,ROV Solutions,,0
367,Beijing MicroPilot UAV Flight Control Systems,,0
366,ROV Solutions,,0
365,Beijing MicroPilot UAV Flight Control Systems,,0
364,ROV Solutions,,0
363,Beijing MicroPilot UAV Flight Control Systems,,0
362,ROV Solutions,,0
361,Beijing MicroPilot UAV Flight Control Systems,,0
360,ROV Solutions,,0
359,Beijing MicroPilot UAV Flight Control Systems,,0
358,ROV Solutions,,0
357,Beijing MicroPilot UAV Flight Control Systems,,0
332,ROV Solutions,,0
330,ROV Solutions,,0
285,"Suzhou A-One Special Alloy Co., Ltd",,0
296,ROV Solutions,,0
305,"Vladov, Mikhail Pavlovich (Moldovan citizen)",,0
304,Vast Solution Sdn Bhd.,,0
303,Vangurd Tec Makina Sanyi Ithalat,,0
302,Vadim Vorobey,,0
301,Ulan-Ude Aircraft Aviation Plant Joint Stock Company,,0
300,"Turkoca Import Export Transit Co., Ltd.",,0
299,Transpek Industry Limited,,0
298,Traian Bujduveanu,,0
297,Tian Yi (Chinese citizen),,0
295,Beijing MicroPilot UAV Flight Control Systems,,0
329,Beijing MicroPilot UAV Flight Control Systems,,0
294,Thundsea Electric Limited,,0
293,The Daniel Frosch Export Company,,0
292,Tex-Co Logistics Ltd.,,0
291,Tenco Technology Company Ltd.,,0
290,Techsnabexport Foreign Economic Joint Stock Company,,0
289,Tanchon Commercial Bank,,0
288,Tammam Trading,,0
287,Taian Foreign Trade General Corporation (TFT),,0
286,"Suzhou Zhongsheng Magnetic Industry Co., Ltd",,0
306,Wha Cheong Tai Company,,0
307,"William W. Manning, Camnetics Manufacturing Corp.",,0
308,"Wuhan IRCEN Technology Co., Ltd.",,0
309,Wuhan Sanjiang Import and Export Co. LTD,,0
328,ROV Solutions,,0
327,Beijing MicroPilot UAV Flight Control Systems,,0
326,ROV Solutions,,0
325,Beijing MicroPilot UAV Flight Control Systems,,0
324,"Zibo Elim Trade Company, Ltd.",,0
323,ROV Solutions,,0
322,Beijing MicroPilot UAV Flight Control Systems,,0
